,Banner_type0,Banner_type1,Banner_type2,Banner_type3,Banner_type4
0,1,1,1,0,1
1,0,1,0,0,1
2,0,0,0,0,0
3,1,0,1,0,1
4,0,0,0,1,0
5,0,1,1,1,0
6,0,1,0,0,0
7,0,1,1,0,1
8,0,0,1,0,1
9,0,0,1,0,1
10,1,0,0,0,1
11,1,0,0,1,1
12,0,0,1,1,1
13,1,0,1,1,1
14,0,1,0,0,1
15,0,0,0,1,1
16,1,0,1,0,1
17,1,1,0,0,0
18,0,1,1,1,1
19,1,0,1,1,1
20,1,1,0,1,0
21,0,1,1,1,0
22,0,0,1,0,1
23,1,0,1,1,0
24,0,1,0,1,1
25,0,0,1,0,1
26,1,0,1,1,0
27,1,1,0,1,0
28,0,0,1,0,1
29,1,0,1,0,1
30,0,1,1,1,0
31,1,1,1,1,1
32,1,0,0,1,1
33,0,0,0,0,0
34,1,1,1,1,0
35,0,0,1,1,0
36,0,1,0,1,0
37,0,1,0,1,1
38,0,1,1,0,1
39,1,1,1,0,1
40,1,0,1,0,1
41,0,1,1,1,0
42,1,1,0,1,0
43,0,0,0,1,0
44,1,0,0,0,0
45,1,0,1,1,0
46,0,1,1,1,0
47,0,1,0,0,0
48,1,0,1,0,0
49,1,0,0,1,1
50,0,1,0,0,1
51,1,1,0,0,0
52,0,0,1,0,1
53,1,0,1,0,0
54,0,1,0,1,0
55,1,1,1,1,0
56,0,0,0,1,0
57,0,0,0,0,1
58,1,1,1,1,1
59,0,1,0,0,1
60,1,1,0,0,1
61,0,1,1,1,0
62,1,0,0,1,1
63,0,0,1,0,0
64,1,1,1,1,1
65,1,1,1,1,0
66,1,1,0,1,0
67,0,1,0,0,0
68,0,0,0,0,0
69,0,1,0,1,0
70,0,0,1,0,0
71,1,1,0,1,1
72,0,0,1,1,0
73,0,0,1,0,0
74,1,1,1,0,1
75,0,1,0,0,1
76,1,0,0,1,0
77,1,1,0,0,0
78,1,1,0,0,0
79,1,0,1,0,1
80,0,0,0,0,1
81,1,0,0,0,0
82,0,0,0,1,1
83,0,1,0,1,0
84,1,1,0,0,0
85,0,0,0,1,1
86,1,0,0,0,1
87,0,1,0,1,1
88,1,0,1,1,0
89,1,0,1,0,0
90,0,0,1,1,0
91,1,1,0,1,1
92,1,1,1,0,1
93,0,1,1,0,0
94,1,1,0,0,1
95,1,1,0,1,0
96,1,1,0,0,1
97,1,0,0,0,0
98,0,1,1,0,1
99,0,1,0,1,1
100,0,0,1,1,0
101,0,0,1,0,0
102,0,0,0,1,1
103,0,1,0,0,0
104,0,1,1,1,1
105,1,0,1,0,0
106,1,0,1,1,1
107,0,1,1,0,0
108,0,1,1,1,0
109,0,1,1,1,0
110,1,1,1,0,0
111,1,1,0,1,0
